execution_index,repeat,position_in_repeat,use_cache,warmup,status,included_in_statistics,prompt_tokens,requested_new_tokens,actual_generated_tokens,total_latency_seconds,throughput_tokens_per_second,baseline_allocated_bytes,baseline_reserved_bytes,peak_allocated_bytes,peak_reserved_bytes,peak_allocated_above_baseline_bytes,generated_token_ids_sha256,generated_token_ids
2,1,0,True,False,passed,True,256,128,128,3.2444264153018594,39.45227402794739,3096884736,3340763136,3121403392,3340763136,24518656,17075a633e75eae79a65895e863e62fc3e7534be57469af93a6eead479a34170,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
3,1,1,False,False,passed,True,256,128,128,3.3745887293480337,37.930548065550326,3096884736,3340763136,3127223296,3340763136,30338560,17075a633e75eae79a65895e863e62fc3e7534be57469af93a6eead479a34170,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
4,2,0,False,False,passed,True,256,128,128,3.370059546083212,37.98152473263138,3096884736,3340763136,3127223296,3340763136,30338560,17075a633e75eae79a65895e863e62fc3e7534be57469af93a6eead479a34170,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
5,2,1,True,False,passed,True,256,128,128,3.25561270583421,39.31671595046242,3096884736,3340763136,3121403392,3340763136,24518656,17075a633e75eae79a65895e863e62fc3e7534be57469af93a6eead479a34170,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
6,3,0,True,False,passed,True,256,128,128,3.2464584531262517,39.42757988377749,3096884736,3340763136,3121403392,3340763136,24518656,17075a633e75eae79a65895e863e62fc3e7534be57469af93a6eead479a34170,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
7,3,1,False,False,passed,True,256,128,128,3.37835560599342,37.8882553905574,3096884736,3340763136,3127223296,3340763136,30338560,17075a633e75eae79a65895e863e62fc3e7534be57469af93a6eead479a34170,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
8,4,0,False,False,passed,True,256,128,128,3.3785296897403896,37.88630314207352,3096884736,3340763136,3127223296,3340763136,30338560,17075a633e75eae79a65895e863e62fc3e7534be57469af93a6eead479a34170,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
9,4,1,True,False,passed,True,256,128,128,3.2450074702501297,39.44520965621493,3096884736,3340763136,3121403392,3340763136,24518656,17075a633e75eae79a65895e863e62fc3e7534be57469af93a6eead479a34170,"[2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279]"
0,0,0,False,False,passed,True,512,128,128,5.853024720679969,21.86903457758329,3096888832,3443523584,3160860672,3443523584,63971840,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
1,0,1,True,False,passed,True,512,128,128,3.256310231052339,39.30829402536206,3096888832,3443523584,3154836992,3443523584,57948160,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
2,1,0,True,False,passed,True,512,128,128,3.2629099902696908,39.228786690931784,3096888832,3443523584,3154836992,3443523584,57948160,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
3,1,1,False,False,passed,True,512,128,128,5.848972822073847,21.884184436099936,3096888832,3443523584,3160860672,3443523584,63971840,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
4,2,0,False,False,passed,True,512,128,128,5.8460546168498695,21.89510847727462,3096888832,3443523584,3160860672,3443523584,63971840,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
5,2,1,True,False,passed,True,512,128,128,3.2676121331751347,39.17233587807209,3096888832,3443523584,3154836992,3443523584,57948160,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
6,3,0,True,False,passed,True,512,128,128,3.270319883245975,39.13990207983962,3096888832,3443523584,3154836992,3443523584,57948160,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
7,3,1,False,False,passed,True,512,128,128,5.848936836235225,21.884319079497793,3096888832,3443523584,3160860672,3443523584,63971840,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
8,4,0,False,False,passed,True,512,128,128,5.853800029028207,21.866138126561417,3096888832,3443523584,3160860672,3443523584,63971840,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
9,4,1,True,False,passed,True,512,128,128,3.2604248668067157,39.25868720458023,3096888832,3443523584,3154836992,3443523584,57948160,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
0,0,0,False,False,passed,True,1024,128,128,10.931752532720566,11.709010025325268,3096897024,4445962240,3281674240,4445962240,184777216,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
1,0,1,True,False,passed,True,1024,128,128,3.2958049308508635,38.83724998462054,3096897024,4445962240,3273608704,4445962240,176711680,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
2,1,0,True,False,passed,True,1024,128,128,3.307061369996518,38.70505735432868,3096897024,4445962240,3273608704,4445962240,176711680,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
3,1,1,False,False,passed,True,1024,128,128,10.92190254572779,11.719569870184245,3096897024,4445962240,3281674240,4445962240,184777216,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
4,2,0,False,False,passed,True,1024,128,128,10.928658709395677,11.712324760398527,3096897024,4445962240,3281674240,4445962240,184777216,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
5,2,1,True,False,passed,True,1024,128,128,3.2972553321160376,38.82016620103699,3096897024,4445962240,3273608704,4445962240,176711680,5fcc0f299f56df0dcefe9385960670e79276e2727011ef96bb0654b06186fa34,"[2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895, 2176, 279, 14260, 1102, 323, 1181, 22990, 13, 362, 4128, 1614, 26885, 264, 8500, 825, 3950, 518, 264, 882, 13, 2014, 3535, 279, 2783, 315, 419, 1882, 11, 582, 646, 6629, 279, 882, 2567, 311, 8193, 264, 8356, 1372, 315, 11211, 323, 279, 4938, 1483, 2337, 9471, 13, 576, 5795, 374, 311, 10339, 1128, 279, 21595, 1473, 323, 892, 30242, 279, 5904, 11554, 624, 2082, 9342, 1265, 9429, 1378, 5942, 1212, 279, 1852, 4682, 13, 58150, 3255, 279, 11773, 11, 3162, 11, 11127, 11, 323, 5003, 1573, 28990, 5068, 13, 2379, 13153, 1817, 18662, 323, 1895]"
